I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
275.11,445.91,226.31,-247.05,79.91,333.67,1.83,426.39,802.15,889.99,621.59,465.43
186.95,362.63,157.67,-310.81,-3.37,260.15,-76.57,318.71,684.71,757.91,504.15,352.87
118.74,299.3,108.98,-349.74,-66.7,201.7,-125.26,240.74,596.98,655.54,421.3,279.78
104.45,289.89,109.33,-349.39,-80.99,197.17,-134.67,197.17,543.65,597.33,372.85,241.09
136.84,317.4,151.48,-282.84,-38.84,234.44,-92.52,210.04,541.88,595.56,375.96,253.96
195.35,375.91,224.63,-195.05,29.43,297.83,-9.61,273.43,575.99,629.67,434.47,312.47
240.37,406.29,269.65,-115.87,89.09,337.97,54.93,303.81,586.85,640.53,459.97,352.61
239.63,400.67,278.67,-82.45,98.11,337.23,63.95,288.43,547.07,600.75,425.07,337.23
185.64,346.68,239.32,-107.16,49.0,293.0,19.72,219.8,454.04,502.84,375.96,268.6
104.67,246.19,148.59,-158.85,-17.33,197.39,-46.61,133.95,343.79,382.83,260.83,163.23
40.25,172.01,74.41,-218.39,-76.87,123.21,-106.15,50.01,245.21,274.49,147.61,79.29
12.72,139.6,46.88,-236.16,-99.52,90.8,-128.8,2.96,183.52,203.04,100.56,22.48
24.65,146.65,73.45,-180.31,-72.95,107.61,-92.47,19.77,190.57,200.33,112.49,34.41
63.92,210.32,166.4,-97.12,-33.68,185.92,-14.16,68.8,234.72,239.6,156.64,93.2
132.47,249.59,205.67,-13.93,49.51,225.19,49.51,117.83,273.99,283.75,200.79,147.11
163.92,266.4,222.48,27.28,90.72,242.0,80.96,134.64,271.28,290.8,212.72,168.8
136.39,229.11,190.07,14.39,68.07,209.59,63.19,97.35,219.35,233.99,175.43,136.39
57.33,135.41,111.01,-30.51,3.65,120.77,-1.23,28.05,125.65,145.17,96.37,57.33
-13.88,49.56,25.16,-91.96,-57.8,34.92,-67.56,-52.92,34.92,44.68,10.52,-18.76
-58.11,-14.19,-33.71,-116.67,-92.27,-23.95,-106.91,-102.03,-33.71,-23.95,-53.23,-77.63
-49.09,-5.17,-19.81,-97.89,-78.37,-14.93,-93.01,-102.77,-39.33,-34.45,-63.73,-83.25
0.81,49.61,44.73,-33.35,-28.47,44.73,-28.47,-52.87,5.69,0.81,-18.71,-38.23
69.08,108.12,108.12,49.56,49.56,108.12,44.68,5.64,64.2,59.32,39.8,20.28
111.23,145.39,150.27,106.35,96.59,145.39,91.71,38.03,96.59,96.59,72.19,57.55
106.7,140.86,145.74,101.82,92.06,140.86,82.3,28.62,77.42,82.3,62.78,57.9
43.37,77.53,92.17,58.01,33.61,82.41,28.73,-29.83,14.09,18.97,4.33,-0.55
-25.27,-5.75,4.01,-15.51,-30.15,-0.87,-35.03,-98.47,-74.07,-64.31,-64.31,-64.31
-73.96,-59.32,-54.44,-69.08,-78.84,-59.32,-98.36,-171.56,-152.04,-142.28,-132.52,-132.52
-88.25,-68.73,-54.09,-68.73,-93.13,-63.85,-102.89,-180.97,-166.33,-161.45,-132.17,-137.05
-41.22,-21.7,-7.06,-21.7,-46.1,-16.82,-55.86,-129.06,-133.94,-129.06,-94.9,-99.78
27.05,31.93,51.45,66.09,31.93,41.69,22.17,-60.79,-65.67,-60.79,-21.75,-36.39
81.83,76.95,101.35,135.51,96.47,86.71,86.71,-1.13,3.75,-6.01,23.27,28.15
